0.707107, 0.707107, 0.000000,
0.703574, 0.707107, -0.070593,
0.687714, 0.691168, -0.222119,
0.650051, 0.653335, -0.388055,
0.592622, 0.595667, -0.542200,
0.517167, 0.519917, -0.679871,
0.425978, 0.428391, -0.796884,
0.321826, 0.323869, -0.889684,
0.207913, 0.209489, -0.955451,
0.087750, 0.088676, -0.992188,
-0.035061, -0.034850, -0.998778,
-0.156799, -0.157324, -0.975020,
-0.255389, -0.256563, -0.932176,
-0.255697, -0.257032, -0.931962,
-0.231187, -0.232464, -0.944729,
-0.200372, -0.201465, -0.958782,
-0.171781, -0.172678, -0.969883,
-0.147642, -0.148382, -0.977847,
-0.127492, -0.128114, -0.983531,
-0.110476, -0.111006, -0.987660,
-0.095937, -0.096393, -0.990709,
-0.083419, -0.083813, -0.992984,
-0.072594, -0.072935, -0.994691,
-0.063207, -0.063503, -0.995978,
-0.055054, -0.055312, -0.996950,
-0.047964, -0.048189, -0.997686,
-0.041795, -0.041991, -0.998243,
-0.036424, -0.036595, -0.998666,
-0.031747, -0.031895, -0.998987,
-0.027672, -0.027801, -0.999230,
-0.024121, -0.024234, -0.999415,
-0.021027, -0.021125, -0.999556,
-0.018330, -0.018416, -0.999662,
-0.015980, -0.016054, -0.999743,
-0.013931, -0.013996, -0.999805,
-0.012145, -0.012201, -0.999852,
-0.010588, -0.010637, -0.999887,
-0.009230, -0.009274, -0.999914,
-0.008047, -0.008085, -0.999935,
-0.007016, -0.007048, -0.999951,
-0.006116, -0.006145, -0.999962,
-0.005332, -0.005357, -0.999971,
-0.004649, -0.004671, -0.999978,
-0.004053, -0.004072, -0.999984,
-0.003534, -0.003550, -0.999988,
-0.003081, -0.003095, -0.999991,
-0.002686, -0.002698, -0.999993,
-0.002341, -0.002352, -0.999995,
-0.002041, -0.002051, -0.999996,
-0.001780, -0.001788, -0.999997,
-0.001552, -0.001559, -0.999998,
